"Jahr";"Examensstufe";"Fachrichtung";"Geschlecht";"Hochschule";Abschlüsse der universitären Hochschulen
"2020";"Master";"Klassische Sprachen Europas";"Frau";"SG";0
"2020";"Master";"Klassische Sprachen Europas";"Frau";"UZH";1
"2020";"Master";"Klassische Sprachen Europas";"Frau";"USI";0
"2020";"Master";"Klassische Sprachen Europas";"Frau";"Andere UI";0
"2020";"Master";"Klassische Sprachen Europas";"Frau";"EPFL";0
"2020";"Master";"Klassische Sprachen Europas";"Frau";"ETHZ";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Mann";"BS";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Mann";"BE";1
"2020";"Master";"Andere nichteuropäische Sprachen";"Mann";"FR";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Mann";"GE";4
"2020";"Master";"Andere nichteuropäische Sprachen";"Mann";"LS";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Mann";"LU";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Mann";"NE";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Mann";"SG";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Mann";"UZH";1
"2020";"Master";"Andere nichteuropäische Sprachen";"Mann";"USI";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Mann";"Andere UI";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Mann";"EPFL";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Mann";"ETHZ";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Frau";"BS";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Frau";"BE";6
"2020";"Master";"Andere nichteuropäische Sprachen";"Frau";"FR";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Frau";"GE";10
"2020";"Master";"Andere nichteuropäische Sprachen";"Frau";"LS";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Frau";"LU";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Frau";"NE";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Frau";"SG";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Frau";"UZH";5
"2020";"Master";"Andere nichteuropäische Sprachen";"Frau";"USI";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Frau";"Andere UI";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Frau";"EPFL";0
"2020";"Master";"Andere nichteuropäische Sprachen";"Frau";"ETHZ";0
"2020";"Master";"Dolmetschen und Übersetzung";"Mann";"BS";0
"2020";"Master";"Dolmetschen und Übersetzung";"Mann";"BE";0
"2020";"Master";"Dolmetschen und Übersetzung";"Mann";"FR";0
"2020";"Master";"Dolmetschen und Übersetzung";"Mann";"GE";19
"2020";"Master";"Dolmetschen und Übersetzung";"Mann";"LS";0
"2020";"Master";"Dolmetschen und Übersetzung";"Mann";"LU";0
"2020";"Master";"Dolmetschen und Übersetzung";"Mann";"NE";0
"2020";"Master";"Dolmetschen und Übersetzung";"Mann";"SG";0
"2020";"Master";"Dolmetschen und Übersetzung";"Mann";"UZH";0
"2020";"Master";"Dolmetschen und Übersetzung";"Mann";"USI";0
"2020";"Master";"Dolmetschen und Übersetzung";"Mann";"Andere UI";0
"2020";"Master";"Dolmetschen und Übersetzung";"Mann";"EPFL";0
"2020";"Master";"Dolmetschen und Übersetzung";"Mann";"ETHZ";0
"2020";"Master";"Dolmetschen und Übersetzung";"Frau";"BS";0
"2020";"Master";"Dolmetschen und Übersetzung";"Frau";"BE";0
"2020";"Master";"Dolmetschen und Übersetzung";"Frau";"FR";0
"2020";"Master";"Dolmetschen und Übersetzung";"Frau";"GE";70
"2020";"Master";"Dolmetschen und Übersetzung";"Frau";"LS";0
"2020";"Master";"Dolmetschen und Übersetzung";"Frau";"LU";0
"2020";"Master";"Dolmetschen und Übersetzung";"Frau";"NE";0
"2020";"Master";"Dolmetschen und Übersetzung";"Frau";"SG";0
"2020";"Master";"Dolmetschen und Übersetzung";"Frau";"UZH";0
"2020";"Master";"Dolmetschen und Übersetzung";"Frau";"USI";0
"2020";"Master";"Dolmetschen und Übersetzung";"Frau";"Andere UI";0
"2020";"Master";"Dolmetschen und Übersetzung";"Frau";"EPFL";0
"2020";"Master";"Dolmetschen und Übersetzung";"Frau";"ETHZ";0
"2020";"Master";"Sprach- und Literaturwissenschaften übergreifend/übrige";"Mann";"BS";6
"2020";"Master";"Sprach- und Literaturwissenschaften übergreifend/übrige";"Mann";"BE";0
"2020";"Master";"Sprach- und Literaturwissenschaften übergreifend/übrige";"Mann";"FR";2
"2020";"Master";"Sprach- und Literaturwissenschaften übergreifend/übrige";"Mann";"GE";0
"2020";"Master";"Sprach- und Literaturwissenschaften übergreifend/übrige";"Mann";"LS";0
"2020";"Master";"Sprach- und Literaturwissenschaften übergreifend/übrige";"Mann";"LU";0
"2020";"Master";"Sprach- und Literaturwissenschaften übergreifend/übrige";"Mann";"NE";0
